	source	interaction	target
402	GNA11	1	PLCB1
403	MAPK14	1	JUN
404	PTK2	1	PXN
405	YWHAH	-1	RAF1
406	AKT1	1	MTOR
407	MTOR	1	RPS6KB2
408	SQSTM1	0	MAP1LC3B
409	MAP1LC3B	1	SQSTM1
410	MAP3K14	1	CHUK
411	TAB3	1	MAP3K7
412	MAP2K6	1	MAPK8
413	MAVS	0	TRAF3
414	NOD1	0	RIPK2
415	NOD2	0	RIPK2
416	TAPBP	0	TAP1
417	TAP1	0	TAPBP
418	TAPBP	0	TAP2
419	TAP2	0	TAPBP
420	IRAK4	1	TRAF6
421	MAGI2	1	PTEN
422	IL34	1	CSF1R
423	STING1	1	TBK1
424	ARHGEF28	1	RHOA
425	PREX1	1	RAC1
426	LPAR1	1	GNAQ
427	LPAR1	1	GNA12
428	LPAR1	1	GNA13
429	ARHGEF1	1	RHOA
430	TNFRSF14	1	TRAF5
431	ARHGEF2	1	RHOA
432	KISS1R	1	GNAQ
433	TBK1	1	OPTN
434	CYTH2	1	ARF6
435	LPAR4	1	GNAQ
436	SMO	0	SUFU
437	MAP1LC3C	-1	NBR1
438	MAP1LC3B	-1	NBR1
439	LPAR5	1	GNA12
440	LPAR5	1	GNA13
441	LPAR2	1	GNAQ
442	LPAR2	1	GNA12
443	LPAR2	1	GNA13
444	ARHGAP35	0	RHOA
445	ARHGEF12	1	RHOA
446	LPAR3	1	GNAQ
447	LPAR3	1	GNA12
448	LPAR3	1	GNA13
449	TBK1	1	SQSTM1
450	AKT3	1	CHUK_IKBKB_IKBKG
451	IRAK1	1	TRAF6
452	TRAF6	1	TAB3
453	TSC1_TSC2	-1	RHEB
454	APC_AXIN1_GSK3B	-1	CTNNB1
455	CHUK_IKBKB_IKBKG	0	NFKBIA
456	CCNE2_CDK2	0	RB1
457	CDC25B	1	CCNB1_CDK1
458	CDC25C	1	CCNB1_CDK1
459	CCND1_CDK4	0	RB1
460	IFNAR1_IFNAR2	1	JAK1
461	IFNAR1_IFNAR2	1	TYK2
462	CCNA2_CDK2	0	RB1
463	TRH	1	TRHR
464	TRHR	1	GNA11
465	TRHR	1	GNAQ
466	CDKN2A	-1	CCND1_CDK4
467	SRPK1	1	SRSF1
468	KRAS	1	PIK3CB
469	MAPK1	1	JUN
470	PDGFB	1	PDGFRB
471	PPP3CA	1	NFATC3
472	SYK	1	BLNK
473	BTK	1	PLCG2
474	DLL1	1	NOTCH3
475	CCL2	1	CCR4
476	GNAI2	-1	ADCY1
477	AGTR1	1	GNAQ
478	GNA13	1	ARHGEF11
479	MAP3K7	1	CHUK_IKBKB_IKBKG
480	PRKCB	1	RAF1
481	SOS2	1	KRAS
482	MET	1	GRB2
483	CDK4	0	RB1
484	HRAS	1	PIK3CD
485	HRAS	1	PIK3CA
486	HRAS	1	PIK3CB
487	PPP3CB	1	NFATC1
488	PPP3CB	1	NFATC2
489	KRAS	1	PIK3CD
490	LTA	1	LTBR
491	FGFR2	1	GRB2
492	IL2RB	1	JAK1
493	MAPK3	1	ESR1
494	MAPK3	1	JUN
495	MAPK3	1	SP1
496	MAPK3	0	BCL2
497	MAPK1	1	ESR1
498	MAPK1	1	SP1
499	MAPK1	1	ATF2
500	NFKBIA	0	NFKB1_RELA
501	PPP3CC	1	NFATC2
502	PTH	1	PTH1R
503	MAPK10	1	JUN
504	CDC42	1	WASL
505	RAC1	1	MAPK8
506	RELN	1	VLDLR
507	GNA12	1	ARHGEF11
508	GNA12	1	ARHGEF12
509	SYK	1	BTK
510	PTPN11	0	SRC
511	PTPRJ	0	SRC
512	UCHL1	1	UBC
513	SKP2	0	CDKN1B
514	CALM2	1	PPP3CA
515	TSHR	1	GNAS
516	MFNG	0	NOTCH1
517	MFNG	0	NOTCH2
518	ARHGEF11	1	RHOA
519	ROCK2	1	MYL9
520	ERN1	1	TRAF2
521	ATG7	1	MAP1LC3C
522	HRAS	1	ARAF
523	NRAS	1	ARAF
524	NRAS	1	PIK3CB
525	KRAS	1	PIK3CA
526	APOB	1	LDLR
527	CAV1	1	FYN
528	CAPN1	1	CDK5R1
529	LYN	1	BTK
530	GNAI3	-1	ADCY1
531	CHRM5	1	GNAQ
532	PDGFRB	1	GRB2
533	CALM1	1	PPP3CB
534	CALM1	1	PPP3CC
535	CALM1	1	PPP3CA
536	CALM2	1	PPP3CB
537	CALM2	1	PPP3CC
538	CALM3	1	PPP3CB
539	CALM3	1	PPP3CC
540	CALM3	1	PPP3CA
541	SRC	1	KRAS
542	ESR1	1	SRC
543	SRC	1	GRB2
544	SRC	1	RAC1
545	SRC	1	ARHGAP35
546	TSHR	1	GNAQ
547	PRKCA	-1	TRPC3
548	CAPN2	1	CDK5R1
549	CHRM3	1	GNAQ
550	JAK1	1	IRF9_STAT1_STAT2
551	ACP1	0	SRC
552	MAPK3	1	ATF2
553	ARNT	1	HIF1A
554	EGFR	1	MAPK1
555	MAPK1	1	MYC
556	MAPK1	0	BCL2
557	TACR3	1	GNAQ
558	TYK2	1	IRF9_STAT1_STAT2
559	AVPR2	1	GNAS
