code	name	TF	ligand
Q15583	TGIF1	False	False
O60602	TLR5	False	False
Q12931	TRAP1	False	False
Q9BUZ4	TRAF4	False	False
Q15672	TWIST1	True	False
Q8TAS1	UHMK1	False	False
P62837	UBE2D2	False	False
O95399	UTS2	False	True
P52735	VAV2	False	False
Q9GZV5	WWTR1	False	False
P56704	WNT3A	False	False
Q9UPY6	WASF3	False	False
Q13309	SKP2	False	False
Q9UQE7	SMC3	False	False
Q13485	SMAD4	True	False
P40222	TXLNA	False	False
P13693	TPT1	False	False
Q14186	TFDP1	True	False
Q495A1	TIGIT	False	False
Q9NVV9	THAP1	False	False
P20333	TNFRSF1B	False	True
O43156	TTI1	False	False
P34925	RYK	False	False
Q9BYW2	SETD2	False	False
P31431	SDC4	False	False
P35712	SOX6	False	False
P48436	SOX9	True	False
Q9H4L7	SMARCAD1	False	False
O43609	SPRY1	False	False
Q969G3	SMARCE1	False	False
Q9HCE7	SMURF1	False	False
P55072	VCP	False	False
P16035	TIMP2	False	True
Q8TEL6	TRPC4AP	False	False
O00463	TRAF5	False	False
P14373	TRIM27	False	False
O14763	TNFRSF10B	False	False
O95407	TNFRSF6B	False	True
Q9BXY4	RSPO3	False	False
P21583	KITLG	False	True
P12931	SRC	False	False
Q9UNH7	SNX6	False	False
Q16613	AANAT	False	False
P01266	TG	False	False
Q15560	TCEA2	False	False
Q8NG68	TTL	False	False
P15498	VAV1	False	False
P98077	SHC2	False	False
P48061	CXCL12	False	True
Q9H0F6	SHARPIN	False	False
Q96EB6	SIRT1	False	False
P42224	STAT1	True	False
O94804	STK10	False	False
O75528	TADA3	False	False
P11388	TOP2A	False	False
P49767	VEGFC	False	True
Q9Y6F9	WNT6	False	False
P23396	RPS3	False	False
P23246	SFPQ	False	False
P54274	TERF1	False	False
Q92574	TSC1	False	False
P35968	KDR	False	False
P56706	WNT7B	False	False
P48736	PIK3CG	False	False
O60260	PRKN	False	False
P17980	PSMC3	False	False
Q12772	SREBF2	True	False
P35499	SCN4A	False	False
Q9UEE5	STK17A	False	False
P37173	TGFBR2	False	False
P07477	PRSS1	False	True
Q9Y3C5	RNF11	False	False
P62070	RRAS2	False	False
Q96LC7	SIGLEC10	False	False
P02787	TF	False	True
P07996	THBS1	False	False
P51668	UBE2D1	False	False
P08670	VIM	False	False
O14492	SH2B2	False	False
O00206	TLR4	False	False
P11473	VDR	True	False
P41221	WNT5A	False	False
P42768	WAS	False	False
Q8NBI6	XXYLT1	False	False
P07947	YES1	False	False
P49910	ZNF165	False	False
Q5T4F4	ZFYVE27	False	False
Q9Y230	RUVBL2	False	False
Q14242	SELPLG	False	False
P19634	SLC9A1	False	False
P61088	UBE2N	False	False
Q9Y4A5	TRRAP	False	False
Q9UPY5	SLC7A11	False	False
O00755	WNT7A	False	False
Q8N3V7	SYNPO	False	False
P68036	UBE2L3	False	False
Q96GC9	VMP1	False	False
P30518	AVPR2	False	False
Q86Y07	VRK2	False	False
P08294	SOD3	False	True
O43167	ZBTB24	False	False
Q96EP0	RNF31	False	False
Q96B97	SH3KBP1	False	False
P35125	USP6	False	False
Q14191	WRN	False	False
P34741	SDC2	False	False
Q02447	SP3	True	False
O14508	SOCS2	False	False
Q9Y3F4	STRAP	False	False
P17542	TAL1	True	False
O76070	SNCG	False	False
Q9C0C9	UBE2O	False	False
O14905	WNT9B	False	False
P49427	CDC34	False	False
P22415	USF1	True	False
Q15326	ZMYND11	False	False
Q7Z3T8	ZFYVE16	False	False
P40225	THPO	False	True
Q14134	TRIM29	False	False
P0CG47	UBB	False	False
P56705	WNT4	False	False
Q9H1J5	WNT8A	False	False
Q9NRW7	VPS45	False	False
Q96PM5	RCHY1	False	False
P78527	PRKDC	False	False
P06454	PTMA	False	False
O15198	SMAD9	False	False
Q9Y6H5	SNCAIP	False	False
P54920	NAPA	False	False
Q8TAD8	SNIP1	False	False
Q9UPU5	USP24	False	False
A5D8V6	VPS37C	False	False
P04628	WNT1	False	True
Q13404	UBE2V1	False	False
Q13432	UNC119	False	False
O60504	SORBS3	False	False
P19544	WT1	True	False
P30291	WEE1	False	False
O43379	WDR62	False	False
Q93097	WNT2B	False	False
Q9UBW7	ZMYM2	False	False
P12757	SKIL	False	False
O95295	SNAPIN	False	False
Q86VP1	TAX1BP1	False	False
P13385	TDGF1	False	False
P23510	TNFSF4	False	False
Q9Y6Q6	TNFRSF11A	False	True
P25445	FAS	False	False
Q9P0U3	SENP1	False	False
P00441	SOD1	False	False
P16949	STMN1	False	False
O15260	SURF4	False	False
Q9Y6E0	STK24	False	False
O15344	MID1	False	False
O15533	TAPBP	False	False
O43508	TNFSF12	False	True
P01222	TSHB	False	False
O14980	XPO1	False	False
Q9UPW6	SATB2	False	False
Q9H4B6	SAV1	False	False
Q9HBY8	SGK2	False	False
P48431	SOX2	True	False
P23497	SP100	False	False
P51532	SMARCA4	False	False
O75093	SLIT1	False	False
Q8WYL5	SSH1	False	False
P61764	STXBP1	False	False
Q99576	TSC22D3	False	False
O60907	TBL1X	False	False
P08138	NGFR	False	False
O00300	TNFRSF11B	False	True
P49815	TSC2	False	False
P63279	UBE2I	False	False
Q8N6Y0	USHBP1	False	False
P15692	VEGFA	False	True
P47992	XCL1	False	True
Q9H171	ZBP1	False	False
Q16236	NFE2L2	True	False
P24666	ACP1	False	False
Q99460	PSMD1	False	False
Q92529	SHC3	False	False
Q06945	SOX4	False	False
P26447	S100A4	False	False
Q92502	STARD8	False	False
P84022	SMAD3	True	False
P01135	TGFA	False	True
Q9BZK7	TBL1XR1	False	False
O43557	TNFSF14	False	True
P45974	USP5	False	False
Q9H788	SH2D4A	False	False
Q99835	SMO	False	False
Q14247	CTTN	False	False
Q13424	SNTA1	False	False
Q9NUJ3	TCP11L1	False	False
Q5T1C6	THEM4	False	False
Q9UKE5	TNIK	False	False
Q15628	TRADD	False	False
Q96KB5	PBK	False	False
Q9Y5Z9	UBIAD1	False	False
Q86WH2	RASSF3	False	False
Q9NS23	RASSF1	False	False
P49792	RANBP2	False	False
P26373	RPL13	False	False
O43295	SRGAP3	False	False
P17600	SYN1	False	False
Q9Y4R8	TELO2	False	False
P42680	TEC	False	False
Q9BXR5	TLR10	False	False
P21580	TNFAIP3	False	False
P33981	TTK	False	False
Q99578	RIT2	False	False
Q13129	RLF	False	False
Q15831	STK11	False	False
Q13188	STK3	False	False
Q8IUC6	TICAM1	False	False
O15455	TLR3	False	False
O75385	ULK1	False	False
P48995	TRPC1	False	False
Q14694	USP10	False	False
P04808	RLN1	False	True
O43566	RGS14	False	False
Q99496	RNF2	False	False
Q9NTX7	RNF146	False	False
Q02878	RPL6	False	False
O15357	INPPL1	False	False
Q9H2G2	SLK	False	False
Q9BPZ7	MAPKAP1	False	False
Q03518	TAP1	False	False
P61812	TGFB2	False	True
P28347	TEAD1	False	False
P04216	THY1	False	False
P55327	TPD52	False	False
Q9P2Y5	UVRAG	False	False
Q9H9H4	VPS37B	False	False
P25105	PTAFR	False	False
P08575	PTPRC	False	False
O75094	SLIT3	False	False
Q7L7X3	TAOK1	False	False
P61289	PSME3	False	False
Q9Y5X1	SNX9	False	False
O60343	TBC1D4	False	False
P01137	TGFB1	False	True
Q9Y2C9	TLR6	False	False
Q9NZC2	TREM2	False	False
Q96RU7	TRIB3	False	False
P35916	FLT4	False	False
Q01851	POU4F1	False	False
Q15262	PTPRK	False	False
Q04912	MST1R	False	False
Q99961	SH3GL1	False	False
Q99717	SMAD5	False	False
P55060	CSE1L	False	False
O14904	WNT9A	False	False
Q13105	ZBTB17	False	False
P27449	ATP6V0C	False	False
Q9GZT5	WNT10A	False	False
Q9Y6I7	WSB1	False	False
P00749	PLAU	False	False
P78423	CX3CL1	False	True
P56703	WNT3	False	False
Q9UBY5	LPAR3	False	False
Q8TDR0	TRAF3IP1	False	False
Q02750	MAP2K1	False	False
P52564	MAP2K6	False	False
O14777	NDC80	False	False
P40425	PBX2	False	False
Q96RI0	F2RL3	False	False
O95613	PCNT	False	False
P04637	TP53	True	False
P12273	PIP	False	False
Q13164	MAPK7	False	False
Q96A72	MAGOHB	False	False
Q969V5	MUL1	False	False
P56278	MTCP1	False	False
O75469	NR1I2	False	False
P00973	OAS1	False	False
Q13087	PDIA2	False	False
O96013	PAK4	False	False
Q15154	PCM1	False	False
O15530	PDPK1	False	False
Q9Y6X2	PIAS3	False	False
P14780	MMP9	False	False
Q16625	OCLN	False	False
P40424	PBX1	False	False
Q9BYG5	PARD6B	False	False
Q9HBI1	PARVB	False	False
P07948	LYN	False	False
O95819	MAP4K4	False	False
P33032	MC5R	False	False
P01106	MYC	True	False
Q9HC98	NEK6	False	False
Q92692	NECTIN2	False	False
Q04941	PLP2	False	False
P14859	POU2F1	True	False
P23284	PPIB	False	False
Q9BZL4	PPP1R12C	False	False
P12272	PTHLH	False	True
P31321	PRKAR1B	False	False
P17931	LGALS3	False	False
P02545	LMNA	False	False
P43034	PAFAH1B1	False	False
O75030	MITF	True	False
P12882	MYH1	False	False
Q14994	NR1I3	False	False
Q9Y2A7	NCKAP1	False	False
Q13459	MYO9B	False	False
Q8TD19	NEK9	False	False
P26367	PAX6	True	False
P05164	MPO	False	False
Q13371	PDCL	False	False
Q13526	PIN1	False	False
Q09161	NCBP1	False	False
Q96S42	NODAL	False	False
Q14980	NUMA1	False	False
P35658	NUP214	False	False
P11940	PABPC1	False	False
P25116	F2R	False	False
Q96BK5	PINX1	False	False
P08648	ITGA5	False	False
P20701	ITGAL	False	False
P14316	IRF2	False	False
P43629	KIR3DL1	False	False
O95751	LDOC1	False	False
Q14847	LASP1	False	False
P15018	LIF	False	True
Q9BZQ8	NIBAN1	False	False
P35232	PHB	False	False
Q15121	PEA15	False	False
Q13200	PSMD2	False	False
Q63ZY3	KANK2	False	False
P35568	IRS1	False	False
P13861	PRKAR2A	False	False
Q13555	CAMK2G	False	False
Q13571	LAPTM5	False	False
P61626	LYZ	False	True
O43318	MAP3K7	False	False
Q9BRK4	LZTS2	False	False
P30990	NTS	False	True
P49790	NUP153	False	False
P05305	EDN1	False	True
Q92630	DYRK2	False	False
Q9Y2E6	DTX4	False	False
Q03468	ERCC6	False	False
Q01344	IL5RA	False	False
Q13651	IL10RA	False	False
Q08380	LGALS3BP	False	False
P28300	LOX	False	False
Q7Z3S9	NOTCH2NLA	False	False
Q9C000	NLRP1	False	False
P35228	NOS2	False	False
O60346	PHLPP1	False	False
P36955	SERPINF1	False	True
P37231	PPARG	True	False
P67775	PPP2CA	False	False
P01178	OXT	False	True
Q92597	NDRG1	False	False
Q99640	PKMYT1	False	False
P24158	PRTN3	False	False
P21453	S1PR1	False	False
P50591	TNFSF10	False	False
Q9Y6N7	ROBO1	False	False
Q5VZM2	RRAGB	False	False
Q8IWR1	TRIM59	False	False
Q99614	TTC1	False	False
P29353	SHC1	False	False
Q92765	FRZB	False	False
Q96BD6	SPSB1	False	False
Q6N021	TET2	False	False
Q96RJ3	TNFRSF13C	False	False
P16473	TSHR	False	False
Q8TF42	UBASH3B	False	False
P46781	RPS9	False	False
O00161	SNAP23	False	False
Q8WUH2	TGFBRAP1	False	False
Q9NYK1	TLR7	False	False
Q13114	TRAF3	False	False
Q12933	TRAF2	False	False
Q9Y5U5	TNFRSF18	False	True
Q9NS56	TOPORS	False	False
Q13671	RIN1	False	False
P05109	S100A8	False	False
Q8IXJ6	SIRT2	False	False
Q06330	RBPJ	False	False
P37840	SNCA	False	False
Q02763	TEK	False	False
P36941	LTBR	False	False
P05187	ALPP	False	False
P26022	PTX3	False	False
O95863	SNAI1	False	False
Q99973	TEP1	False	False
Q9NR96	TLR9	False	False
Q8IVF5	TIAM2	False	False
O95271	TNKS	False	False
P04629	NTRK1	False	False
P06400	RB1	False	False
P0DPH7	TUBA3C	False	False
P10599	TXN	False	False
Q9H2K2	TNKS2	False	False
Q6ZVN8	HJV	False	False
O43353	RIPK2	False	False
Q9NWF9	RNF216	False	False
Q8N488	RYBP	False	False
Q9C0H9	SRCIN1	False	False
P01286	GHRH	False	True
Q9C004	SPRY4	False	False
Q8IUQ4	SIAH1	False	False
P35590	TIE1	False	False
P25942	CD40	False	False
Q9P0V3	SH3BP4	False	False
O75326	SEMA7A	False	False
Q02086	SP2	False	False
Q8WXA9	SREK1	False	False
Q9UGK3	STAP2	False	False
O75674	TOM1L1	False	False
Q04724	TLE1	False	False
Q9Y490	TLN1	False	False
P32971	TNFSF8	False	False
Q96EY4	TMA16	False	False
P10276	RARA	True	False
Q9P227	ARHGAP23	False	False
Q8IWW6	ARHGAP12	False	False
A1A4S6	ARHGAP10	False	False
Q9Y572	RIPK3	False	False
P32745	SSTR3	False	False
Q15750	TAB1	False	False
Q9NU19	TBC1D22B	False	False
Q99594	TEAD3	False	False
Q08117	TLE5	False	False
Q15399	TLR1	False	False
P58753	TIRAP	False	False
Q15025	TNIP1	False	False
P62995	TRA2B	False	False
Q9BST9	RTKN	False	False
P28702	RXRB	False	False
Q9UBE0	SAE1	False	False
Q9Y371	SH3GLB1	False	False
Q15475	SIX1	False	False
P78362	SRPK2	False	False
Q9UHD9	UBQLN2	False	False
Q9UEW8	STK39	False	False
P10828	THRB	False	False
P10827	THRA	False	False
Q15561	TEAD4	False	False
P11387	TOP1	False	False
P01375	TNF	False	True
Q9NQC3	RTN4	False	False
Q92734	TFG	False	False
P56279	TCL1A	False	False
Q63HR2	TNS2	False	False
P09544	WNT2	False	False
Q9UKP6	UTS2R	False	False
Q93008	USP9X	False	False
P43403	ZAP70	False	False
O95150	TNFSF15	False	False
P17152	TMEM11	False	False
Q969D9	TSLP	False	False
P40818	USP8	False	False
Q9ULT6	ZNRF3	False	False
P04004	VTN	False	True
P49750	YLPM1	False	False
P63313	TMSB10	False	False
O75558	STX11	False	False
Q8IXH6	TP53INP2	False	False
P25490	YY1	True	False
P02774	GC	False	True
Q13564	NAE1	False	False
Q9H0M0	WWP1	False	False
Q9Y5S8	NOX1	False	False
O00743	PPP6C	False	False
Q13464	ROCK1	False	False
Q9UBT2	UBA2	False	False
Q05195	MXD1	False	False
Q9UHA4	LAMTOR3	False	False
Q99750	MDFI	False	False
O60682	MSC	False	False
Q15746	MYLK	False	False
P29475	NOS1	False	False
O43242	PSMD3	False	False
Q12923	PTPN13	False	False
P25800	LMO1	False	False
Q9H1K0	RBSN	False	False
Q13017	ARHGAP5	False	False
O14730	RIOK3	False	False
Q9H0W8	SMG9	False	False
O43166	SIPA1L1	False	False
P36956	SREBF1	True	False
P09486	SPARC	False	False
Q9NZQ3	NCKIPSD	False	False
O43597	SPRY2	False	False
P12755	SKI	False	False
P22692	IGFBP4	False	True
P05787	KRT8	False	False
O15031	PLXNB2	False	False
Q13519	PNOC	False	True
Q96A00	PPP1R14A	False	False
Q13761	RUNX3	True	False
P56693	SOX10	True	False
P17947	SPI1	True	False
Q13972	RASGRF1	False	False
Q13127	REST	True	False
Q13546	RIPK1	False	False
Q15424	SAFB	False	False
O43765	SGTA	False	False
Q8WXF3	RLN3	False	True
Q7Z5H3	ARHGAP22	False	False
Q92622	RUBCN	False	False
P10082	PYY	False	True
P61224	RAP1B	False	False
Q15669	RHOH	False	False
Q7L804	RAB11FIP2	False	False
Q9HB90	RRAGC	False	False
Q99584	S100A13	False	False
P18827	SDC1	False	False
Q01105	SET	False	False
Q6STE5	SMARCD3	False	False
Q13253	NOG	False	True
P62140	PPP1CB	False	False
P53805	RCAN1	False	False
P11233	RALA	False	False
Q99985	SEMA3C	False	False
Q9BZL3	SMIM3	False	False
Q8N3J5	PPM1K	False	False
Q5T5U3	ARHGAP21	False	False
Q99962	SH3GL2	False	False
Q12796	PNRC1	False	False
Q06124	PTPN11	False	False
P07949	RET	False	False
P10301	RRAS	False	False
P60903	S100A10	False	False
Q9UPX8	SHANK2	False	False
Q5TCZ1	SH3PXD2A	False	False
Q05516	ZBTB16	False	False
Q96JP5	ZFP91	False	False
Q07157	TJP1	False	False
Q15942	ZYX	False	False
Q9UDY2	TJP2	False	False
P50552	VASP	False	False
P30153	PPP2R1A	False	False
Q08043	ACTN3	False	False
Q9NR61	DLL4	False	False
P21917	DRD4	False	False
Q15910	EZH2	False	False
P05112	IL4	False	True
P01562	IFNA1/IFNA13	False	True
P08069	IGF1R	False	False
Q16552	IL17A	False	True
Q9UHD0	IL19	False	True
P15260	IFNGR1	False	False
P62258	YWHAE	False	False
Q9GZX7	AICDA	False	False
P27540	ARNT	False	False
Q13315	ATM	False	False
Q9BXL7	CARD11	False	False
Q9NZJ5	EIF2AK3	False	False
P50549	ETV1	False	False
Q15389	ANGPT1	False	True
P28906	CD34	False	False
Q8IZL9	CDK20	False	False
P50613	CDK7	False	False
P67870	CSNK2B	False	False
O14936	CASK	False	False
P23528	CFL1	False	False
Q9NWM3	CUEDC1	False	False
Q16531	DDB1	False	False
P10767	FGF6	False	True
P24530	EDNRB	False	False
P29692	EEF1D	False	False
Q99502	EYA1	False	False
P00488	F13A1	False	True
P32298	GRK4	False	False
P07359	GP1BA	False	False
Q9NWT6	HIF1AN	False	False
P08238	HSP90AB1	False	False
Q9Y6W8	ICOS	False	False
O15111	CHUK	False	False
Q9NPH3	IL1RAP	False	False
Q14116	IL18	False	False
Q13418	ILK	False	False
Q9BX63	BRIP1	False	False
P21333	FLNA	False	False
Q08050	FOXM1	True	False
Q9H461	FZD8	False	False
Q9Y2X7	GIT1	False	False
P30793	GCH1	False	False
P05113	IL5	False	True
Q15653	NFKBIB	False	False
P05019	IGF1	False	True
P01344	IGF2	False	True
P10145	CXCL8	False	False
O00629	KPNA4	False	False
P78344	EIF4G2	False	False
P42702	LIFR	False	False
Q7Z5L9	IRF2BP2	False	False
P18065	IGFBP2	False	True
Q08881	ITK	False	False
P08727	KRT19	False	False
P16157	ANK1	False	False
P35637	FUS	False	False
Q01167	FOXK2	False	False
Q14393	GAS6	False	True
O14793	MSTN	False	True
Q15034	HERC3	False	False
P14210	HGF	False	True
P55196	AFDN	False	False
Q15369	ELOC	False	False
Q99075	HBEGF	False	True
P11142	HSPA8	False	False
P05000	IFNW1	False	True
P78318	IGBP1	False	False
Q9UHF5	IL17B	False	True
P01584	IL1B	False	True
Q9HBE4	IL21	False	True
Q9NYY1	IL20	False	True
Q13007	IL24	False	True
O14654	IRS4	False	False
Q9NXV6	CDKN2AIP	False	False
O14757	CHEK1	False	False
P16070	CD44	False	False
O95786	DDX58	False	False
Q9Y6W6	DUSP10	False	False
Q96JJ3	ELMO2	False	False
P03372	ESR1	True	False
P01148	GNRH1	False	True
Q96IJ6	GMPPA	False	False
Q9H8Y8	GORASP2	False	False
P49841	GSK3B	False	False
O95998	IL18BP	False	False
Q9Y624	F11R	False	False
Q9UQF2	MAPK8IP1	False	False
P78314	SH3BP2	False	False
P08173	CHRM4	False	False
O95433	AHSA1	False	False
P28221	HTR1D	False	False
P03950	ANG	False	True
O14744	PRMT5	False	False
P15336	ATF2	True	False
Q7L775	EPM2AIP1	False	False
P54756	EPHA5	False	False
Q8TCJ0	FBXO25	False	False
Q9UHY8	FEZ2	False	False
Q96AC1	FERMT2	False	False
O75293	GADD45B	False	False
O75084	FZD7	False	False
O43432	EIF4G3	False	False
Q8WZ64	ARAP2	False	False
O43307	ARHGEF9	False	False
Q9NRI5	DISC1	False	False
Q92838	EDA	False	False
Q8NEU8	APPL2	False	False
Q15768	EFNB3	False	True
Q12778	FOXO1	True	False
P01589	IL2RA	False	False
Q9BYX4	IFIH1	False	False
P13232	IL7	False	True
P43364	MAGEA11	False	False
Q86YT6	MIB1	False	False
P26715	KLRC1	False	False
P26717	KLRC2	False	False
P30305	CDC25B	False	False
P14598	NCF1	False	False
Q5JSZ5	PRRC2B	False	False
Q96CV9	OPTN	False	False
P41146	OPRL1	False	False
P35372	OPRM1	False	False
Q15118	PDK1	False	False
Q14767	LTBP2	False	False
P09237	MMP7	False	True
P08254	MMP3	False	False
Q9H492	MAP1LC3A	False	False
P30304	CDC25A	False	False
O75376	NCOR1	False	False
Q9P1W9	PIM2	False	False
Q9H3D4	TP63	True	False
Q86V86	PIM3	False	False
Q8N2W9	PIAS4	False	False
Q13522	PPP1R1A	False	False
P13196	ALAS1	False	False
Q96PD4	IL17F	False	True
P80217	IFI35	False	False
Q14145	KEAP1	False	False
Q15418	RPS6KA1	False	False
Q92806	KCNJ9	False	False
P25391	LAMA1	False	True
P29376	LTK	False	False
P25205	MCM3	False	False
Q9Y5V3	MAGED1	False	False
Q9BUB5	MKNK1	False	False
Q99466	NOTCH4	False	False
P51617	IRAK1	False	False
Q8NG31	KNL1	False	False
O95382	MAP3K6	False	False
P33993	MCM7	False	False
Q13163	MAP2K5	False	False
P13591	NCAM1	False	False
P19878	NCF2	False	False
O43612	HCRT	False	False
O15360	FANCA	False	False
Q9HD26	GOPC	False	False
Q9Y2N7	HIF3A	False	False
Q13887	KLF5	False	False
P49674	CSNK1E	False	False
P19838	NFKB1	True	False
Q92542	NCSTN	False	False
P80303	NUCB2	False	False
O43189	PHF1	False	False
P43088	PTGFR	False	False
O75928	PIAS2	False	False
