source	interaction	target
SRC	1	STAT3
CTNNBIP1	-1	CTNNB1
JAK1	1	STAT5B
HIPK2	1	PML
RNF168	1	H2AX
CDKN2C	0	CDK6
RAD17	1	ATM
ATM	1	RAD17
CDKN2C	-1	CDK4
ATR	0	TP53
MDM2	-1	TP53
NBN	1	ATM
ATM	1	NBN
TP53	1	BAX
BRCA1	1	ATM
ATM	0	BRCA1
ATM	0	TP53
CHEK1	-1	CDC25C
CHEK2	-1	CDC25C
ATM	1	RAD9A
BRCA1	0	RBBP8
RBBP8	0	BRCA1
ATM	1	CHEK2
ATM	0	RBBP8
GSK3B	-1	HSF1
GSK3B	0	CREB1
RELA	0	CREBBP
CREBBP	1	RELA
PPP1R1B	-1	PPP1CA
CDK5	1	ATM
CDK5	-1	CDK5R1
CDK5R1	1	CDK5
CDKN2A	0	CDK6
AKT1	1	NUAK1
NPM1	1	CDKN2A
BAZ1B	1	H2AX
PAK2	0	ABL1
CYCS	1	APAF1
ABL1	1	PRKD1
PRKD1	0	ABL1
ABL1	0	PDGFRB
GNRHR	1	GNAI1
ABL1	1	NCK1
NCK1	0	ABL1
ABL1	1	JAK2
ABL1	0	MDM2
ABL1	1	ESR1
ABL1	1	EGFR
ABL1	-1	DDB2
AURKB	1	INCENP
INCENP	1	AURKB
ABL1	1	CD19
CBL	0	ABL1
PGR	0	ESR1
STK4	1	FOXO3
AURKB	-1	BIRC5
AURKB	1	RACGAP1
AURKB	-1	VIM
NEK2	1	NEK11
RIN1	1	ABL2
ABL1	0	RAD9A
ABL1	1	PTPN6
PTPN6	1	ABL1
PSTPIP1	0	ABL1
ABL1	1	PSTPIP1
CCNE1	1	CDK2
CDK2	-1	CCNE1
GSK3B	-1	CCNE1
PKMYT1	-1	CDK1
EGFR	1	STAT3
ERBB2	-1	CDK1
TRIM25	1	DDX58
TGFBR1	0	SMAD3
TGFBR1	0	SMAD2
AKT1	0	SMAD3
LATS1	0	YAP1
STK3	1	LATS2
RASSF1	1	STK3
STK3	1	LATS1
SRC	0	CAV1
ATM	1	RASSF1
HSBP1	-1	HSF1
ARAF	1	MAP2K2
BRAF	1	MAP2K1
RAF1	1	MAP2K2
BRAF	1	MAP2K2
MAPK1	-1	BRAF
ARAF	1	MAP2K1
MAPK1	0	RAF1
MAPK3	0	RAF1
MAP2K2	1	MAPK1
MAPK3	1	RPS6KA1
RPS6KA1	-1	BAD
MAPK3	-1	BRAF
UBE2N	1	TRAF2
TRAF2	1	BIRC3
BIRC3	-1	TRAF2
RAD9A	1	TOPBP1
ABL1	1	CASP9
ABL1	1	APBB1
ABL1	1	CDK5
SRC	1	ABL2
ABL1	1	ABL2
ABL1	1	ABI1
ABI1	1	ABL1
SRC	1	ABL1
CHEK2	0	PLK1
PLK1	0	CHEK2
AURKA	-1	RASSF1
OTUB1	-1	UBE2N
CSF2	1	CSF2RA
ATM	-1	CREB1
PPM1D	0	TP53
HGF	1	MET
PPM1D	-1	CHEK1
AKT1	1	MDM2
AKT1	0	GSK3B
MAPK1	-1	CASP9
AKT1	-1	RAF1
ID3	-1	TCF3
BAK1	1	CYCS
BAK1	1	DIABLO
BAX	1	HTRA2
IKBKE	1	IRF3
KEAP1	-1	NFE2L2
CASP3	-1	PARP1
MAPK3	1	STAT3
BAX	1	CYCS
BIRC5	0	CASP3
RB1	-1	E2F2
TNF	1	TNFRSF1B
BAG4	-1	TNFRSF1A
TNFRSF1B	1	TRAF2
BTRC	-1	WEE1
