	sig_id	A375	A549	HA1E	HCC515	HEKTE	HEPG2	HT29	JURKAT	MCF7	PC3	SHSY5Y	SW480	VCAP
133	KDA004_A549_96H:TRCN0000001673:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
134	KDA004_A549_96H:TRCN0000006487:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
135	KDA004_A549_96H:TRCN0000020011:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
136	KDA004_A549_96H:TRCN0000021618:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
137	KDA004_A549_96H:TRCN0000029428:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
138	KDA004_HEPG2_96H:TRCN0000001673:-666	0	0	0	0	0	1	0	0	0	0	0	0	0
139	KDA004_HEPG2_96H:TRCN0000003301:-666	0	0	0	0	0	1	0	0	0	0	0	0	0
140	KDA004_HEPG2_96H:TRCN0000006487:-666	0	0	0	0	0	1	0	0	0	0	0	0	0
141	KDA004_HT29_96H:TRCN0000007264:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
142	KDA004_HT29_96H:TRCN0000050913:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
143	KDA004_HT29_96H:TRCN0000057876:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
144	KDA004_HT29_96H:TRCN0000058713:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
145	KDA004_MCF7_144H:TRCN0000003982:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
146	KDA004_MCF7_144H:TRCN0000006406:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
147	KDA004_MCF7_96H:TRCN0000003301:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
148	KDA004_MCF7_96H:TRCN0000006487:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
149	KDA004_PC3_96H:TRCN0000003982:-666	0	0	0	0	0	0	0	0	0	1	0	0	0
150	KDA004_VCAP_120H:I12	0	0	0	0	0	0	0	0	0	0	0	0	1
151	KDA005_A549_96H:TRCN0000003359:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
152	KDA005_A549_96H:TRCN0000007304:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
153	KDA005_A549_96H:TRCN0000039797:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
154	KDA005_A549_96H:TRCN0000040011:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
155	KDA005_A549_96H:TRCN0000312623:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
156	KDA005_HA1E_96H:TRCN0000039796:-666	0	0	1	0	0	0	0	0	0	0	0	0	0
157	KDA005_HA1E_96H:TRCN0000083416:-666	0	0	1	0	0	0	0	0	0	0	0	0	0
158	KDA005_HA1E_96H:TRCN0000338343:-666	0	0	1	0	0	0	0	0	0	0	0	0	0
159	KDA005_HT29_96H:TRCN0000003359:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
160	KDA005_HT29_96H:TRCN0000007235:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
161	KDA005_HT29_96H:TRCN0000007304:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
162	KDA005_HT29_96H:TRCN0000051088:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
163	KDA005_HT29_96H:TRCN0000308110:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
