	source	interaction	target
3250	DVL1	1	SMAD3
3251	NLK	1	LEF1
3252	CSNK2A1	1	LEF1
3253	DVL3	1	PIP5K1A
3254	CAPRIN2	1	LRP6
3255	DVL2	1	RAC1
3256	CSNK1E	1	ROR2
3257	PDGFRA	1	PLCG1
3258	PDGFRB	1	PLCG1
3259	PDGFRA	1	CRK
3260	PDGFRB	1	PTPN11
3261	PTPN11	-1	PDGFRB
3262	PDGFRB	1	NCK1
3263	CAV1	1	PDGFRB
3264	PDGFRB	1	RASA1
3265	PDGFRB	1	CRK
3266	PDGFD	1	PDGFRB
3267	FGFR1	1	GRB14
3268	FGFR1	1	SHB
3269	FGF6	1	FGFR2
3270	FGF17	1	FGFR2
3271	FGF18	1	FGFR2
3272	FGF22	1	FGFR2
3273	FGF9	1	FGFR3
3274	KDR	1	SHC2
3275	SHC2	1	KDR
3276	KDR	1	ANXA5
3277	KDR	1	SHC1
3278	FLT4	1	SHC1
3279	CBL	1	MET
3280	MET	1	GLMN
3281	MET	1	GRAP
3282	MET	1	RANBP9
3283	MST1	1	MST1R
3284	AKT1	1	MST1R
3285	MST1R	1	YWHAB
3286	MST1R	1	YWHAQ
3287	NTRK1	1	ABL1
3288	NTRK1	1	MATK
3289	NTRK1	1	ARHGAP32
3290	SQSTM1	1	NTRK1
3291	NTRK1	1	SH2B1
3292	SH2B1	1	NTRK1
3293	NTRK1	1	SH2B2
3294	BDNF	1	NTRK2
3295	NTRK2	1	FYN
3296	SQSTM1	1	NTRK2
3297	NTRK2	1	SHC3
3298	NTF3	1	NTRK3
3299	NTRK3	1	PLCG1
3300	NTRK3	1	SHC1
3301	EFNA3	1	EPHA3
3302	EFNA4	1	EPHA4
3303	EFNB1	1	EPHB1
3304	EPHB2	1	EFNB2
3305	EFNB2	1	EPHB2
3306	EPHA2	1	PIK3R2
3307	ACP1	1	EPHA2
3308	EPHA2	1	SHC1
3309	EFNA1	1	EPHA7
3310	EFNA2	1	EPHA7
3311	EFNA3	1	EPHA7
3312	EFNA4	1	EPHA7
3313	EFNA2	1	EPHA8
3314	EFNA3	1	EPHA8
3315	EFNA4	1	EPHA8
3316	EFNA5	1	EPHA8
3317	EFNA4	1	EPHA2
3318	EFNA4	1	EPHA3
3319	EFNA2	1	EPHA5
3320	EFNA3	1	EPHA5
3321	EFNA4	1	EPHA5
3322	EFNB2	1	EPHB1
3323	EFNB1	1	EPHB2
3324	EFNB1	1	EPHB3
3325	EFNB2	1	EPHB3
3326	EFNB2	1	EPHA3
3327	EPHA3	1	SRC
3328	EPHA4	1	ARHGEF15
3329	FYN	-1	EPHA4
3330	EPHA4	1	FYN
3331	EPHB1	1	GRB7
3332	EPHB1	1	ACP1
3333	EPHB1	1	NCK1
3334	SRC	1	EPHB2
3335	EPHB2	1	SRC
3336	EPHB2	1	RASA1
3337	ABL1	1	EPHB2
3338	EPHB2	1	ABL1
3339	EPHB2	1	SYNJ1
3340	EPHB2	1	ITSN1
3341	EPHB3	1	RASA1
3342	EPHB3	1	AFDN
3343	LTK	1	SHC1
3344	PTN	1	ALK
3345	ALK	1	PTN
3346	ALK	1	PLCG1
3347	ALK	1	STAT3
3348	MDK	1	ALK
3349	PTPRZ1	1	ALK
3350	PTPRB	1	ALK
