	sig_id	HT29	MCF7	SW480	A549	HA1E	HEKTE	PC3	SHSY5Y	HEPG2	JURKAT	A375	HCC515	VCAP
85	KDA001_HT29_96H:TRCN0000040082:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
86	KDA001_HT29_96H:TRCN0000061756:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
87	KDA001_MCF7_96H:TRCN0000001617:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
88	KDA001_MCF7_96H:TRCN0000008027:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
89	KDA002_A375_96H:A14	0	0	0	0	0	0	0	0	0	0	1	0	0
90	KDA002_A375_96H:E05	0	0	0	0	0	0	0	0	0	0	1	0	0
91	KDA002_A375_96H:H11	0	0	0	0	0	0	0	0	0	0	1	0	0
92	KDA002_A375_96H:J19	0	0	0	0	0	0	0	0	0	0	1	0	0
93	KDA002_A375_96H:L01	0	0	0	0	0	0	0	0	0	0	1	0	0
94	KDA002_A375_96H:L11	0	0	0	0	0	0	0	0	0	0	1	0	0
95	KDA002_A375_96H:M08	0	0	0	0	0	0	0	0	0	0	1	0	0
96	KDA002_A375_96H:N12	0	0	0	0	0	0	0	0	0	0	1	0	0
97	KDA002_A375_96H:TRCN0000003581:-666	0	0	0	0	0	0	0	0	0	0	1	0	0
98	KDA002_A375_96H:TRCN0000021847:-666	0	0	0	0	0	0	0	0	0	0	1	0	0
99	KDA002_A549_96H:TRCN0000004303:-666	0	0	0	1	0	0	0	0	0	0	0	0	0
100	KDA002_A549_96H:TRCN0000007006:-666	0	0	0	1	0	0	0	0	0	0	0	0	0
101	KDA002_A549_96H:TRCN0000020843:-666	0	0	0	1	0	0	0	0	0	0	0	0	0
102	KDA002_A549_96H:TRCN0000035709:-666	0	0	0	1	0	0	0	0	0	0	0	0	0
103	KDA002_A549_96H:TRCN0000040167:-666	0	0	0	1	0	0	0	0	0	0	0	0	0
104	KDA002_HT29_96H:TRCN0000000583:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
105	KDA002_HT29_96H:TRCN0000002430:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
106	KDA002_HT29_96H:TRCN0000003551:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
107	KDA002_MCF7_144H:TRCN0000000583:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
108	KDA002_MCF7_144H:TRCN0000035710:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
109	KDA002_MCF7_96H:TRCN0000007241:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
110	KDA002_PC3_96H:TRCN0000002429:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
111	KDA002_PC3_96H:TRCN0000007241:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
112	KDA002_VCAP_120H:TRCN0000004303:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
113	KDA002_VCAP_120H:TRCN0000004828:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
114	KDA002_VCAP_120H:TRCN0000019990:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
115	KDA002_VCAP_120H:TRCN0000035710:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
116	KDA003_A549_96H:TRCN0000007454:-666	0	0	0	1	0	0	0	0	0	0	0	0	0
117	KDA003_A549_96H:TRCN0000013739:-666	0	0	0	1	0	0	0	0	0	0	0	0	0
118	KDA003_A549_96H:TRCN0000022217:-666	0	0	0	1	0	0	0	0	0	0	0	0	0
119	KDA003_A549_96H:TRCN0000037899:-666	0	0	0	1	0	0	0	0	0	0	0	0	0
120	KDA003_A549_96H:TRCN0000045248:-666	0	0	0	1	0	0	0	0	0	0	0	0	0
121	KDA003_HA1E_96H:TRCN0000000595:-666	0	0	0	0	1	0	0	0	0	0	0	0	0
122	KDA003_HA1E_96H:TRCN0000003799:-666	0	0	0	0	1	0	0	0	0	0	0	0	0
123	KDA003_HA1E_96H:TRCN0000006294:-666	0	0	0	0	1	0	0	0	0	0	0	0	0
124	KDA003_HA1E_96H:TRCN0000007930:-666	0	0	0	0	1	0	0	0	0	0	0	0	0
125	KDA003_HA1E_96H:TRCN0000014793:-666	0	0	0	0	1	0	0	0	0	0	0	0	0
126	KDA003_HA1E_96H:TRCN0000033458:-666	0	0	0	0	1	0	0	0	0	0	0	0	0
127	KDA003_HA1E_96H:TRCN0000064515:-666	0	0	0	0	1	0	0	0	0	0	0	0	0
128	KDA003_HEPG2_96H:TRCN0000007930:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
129	KDA003_HEPG2_96H:TRCN0000010039:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
130	KDA003_HT29_96H:D03	1	0	0	0	0	0	0	0	0	0	0	0	0
131	KDA003_HT29_96H:F23	1	0	0	0	0	0	0	0	0	0	0	0	0
132	KDA003_HT29_96H:P15	1	0	0	0	0	0	0	0	0	0	0	0	0
133	KDA003_HT29_96H:TRCN0000002329:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
134	KDA003_HT29_96H:TRCN0000003802:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
135	KDA003_HT29_96H:TRCN0000007932:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
136	KDA003_HT29_96H:TRCN0000064517:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
137	KDA003_MCF7_144H:TRCN0000001028:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
138	KDA003_PC3_96H:TRCN0000006150:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
139	KDA003_PC3_96H:TRCN0000019542:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
140	KDA003_VCAP_120H:TRCN0000033457:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
141	KDA004_A549_96H:TRCN0000000034:-666	0	0	0	1	0	0	0	0	0	0	0	0	0
142	KDA004_A549_96H:TRCN0000000603:-666	0	0	0	1	0	0	0	0	0	0	0	0	0
143	KDA004_A549_96H:TRCN0000002283:-666	0	0	0	1	0	0	0	0	0	0	0	0	0
144	KDA004_A549_96H:TRCN0000021618:-666	0	0	0	1	0	0	0	0	0	0	0	0	0
145	KDA004_A549_96H:TRCN0000040207:-666	0	0	0	1	0	0	0	0	0	0	0	0	0
146	KDA004_A549_96H:TRCN0000061770:-666	0	0	0	1	0	0	0	0	0	0	0	0	0
147	KDA004_A549_96H:TRCN0000062576:-666	0	0	0	1	0	0	0	0	0	0	0	0	0
148	KDA004_HA1E_96H:TRCN0000046452:-666	0	0	0	0	1	0	0	0	0	0	0	0	0
149	KDA004_HEPG2_96H:TRCN0000001673:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
150	KDA004_HEPG2_96H:TRCN0000002780:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
151	KDA004_HEPG2_96H:TRCN0000006487:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
152	KDA004_HEPG2_96H:TRCN0000040207:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
153	KDA004_HEPG2_96H:TRCN0000061770:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
154	KDA004_HT29_96H:TRCN0000000605:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
155	KDA004_HT29_96H:TRCN0000001700:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
156	KDA004_HT29_96H:TRCN0000008682:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
157	KDA004_HT29_96H:TRCN0000040206:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
158	KDA004_HT29_96H:TRCN0000050913:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
