	source	interaction	target
434	MTOR	1	RPS6KB1
435	ITCH	-1	CFLAR
436	GRB2	1	SOS1
437	FANCL	1	FANCD2
438	FANCL	1	FANCI
439	AURKA	1	BRCA1
440	ATM	1	ATF2
441	RPS6KA4	1	RELA
442	PDPK1	1	AKT1
443	CDK1	-1	TP53BP1
444	CDC7	1	MCM2
445	CTNNB1	1	EP300
446	CHD8	-1	CTNNB1
447	CSNK1A1	1	AXIN1
448	CSNK1A1	1	HNRNPC
449	PRKDC	1	HNRNPU
450	SIRT1	1	NCOR2
451	SIRT1	1	NCOR1
452	FBXW7	1	NOTCH1
453	CTNNB1	1	TCF7L2
454	MAPKAPK2	1	CREB1
455	NLK	-1	TCF7L2
456	PRKCQ	1	CARD11
457	AKT1	1	YBX1
458	MAP3K7	1	NLK
459	CHEK1	1	TLK1
460	LIMK1	1	CFL2
461	ROCK1	1	LIMK2
462	CDC42BPA	1	LIMK1
463	CDC42BPA	1	LIMK2
464	LIMK1	1	CFL1
465	LIMK2	1	CFL1
466	ROCK1	1	LIMK1
467	TOPBP1	1	ATRIP
468	NEK2	1	SGO1
469	TRAF6	1	TAB1
470	USP28	1	MYC
471	TLR2	1	TICAM2
472	BIRC3	-1	MAP3K14
473	BIRC2	1	RIPK1
474	BIRC3	1	RIPK1
475	BIRC7	-1	DIABLO
476	MYD88	1	IRAK1
477	PDK1	1	PKN2
478	MAPK3	1	HIF1A
479	MAPK1	1	HIF1A
480	NF1	1	HRAS
481	RNF135	1	DDX58
482	GSK3B	1	GLI3
483	GADD45A	-1	CDK1
484	CDK1	1	CDC25A
485	CDC25A	1	CDK1
486	TRIM28	1	MDM2
487	CHEK1	1	CLSPN
488	CLSPN	1	CHEK1
489	FBXO5	-1	FZR1
490	TLR9	1	MYD88
491	TLR7	1	MYD88
492	ATM	1	BLM
493	RPS6KA3	1	H3C8
494	RPS6KA5	1	H3C8
495	MCM10	1	POLA1
496	BUB1	1	CDC20
497	KIF4A	1	PRC1
498	IRAK4	1	IRAK1
499	ATM	1	E2F1
500	CDK2	-1	CDKN1A
501	CDKN1A	-1	CDK2
502	ATM	1	SP1
503	ATM	1	SMC1A
504	MAP3K3	1	MAP2K5
505	ATM	1	MDM4
506	MDM2	1	MDM4
507	APC	1	CTNNB1
508	ATR	1	ATM
509	ATM	1	DCLRE1C
510	CENPA	1	AURKB
511	AURKB	1	CENPA
512	MAPK8	1	ITCH
513	AURKA	1	CDC25B
514	CDK1	1	CDC25B
515	CDC25B	1	CDK1
516	PLK1	1	CLSPN
517	ATR	1	FANCD2
518	SHPRH	1	PCNA
519	PLK1	1	CDC25C
520	PLK1	1	FOXM1
521	ECT2	1	RHOA
522	RHOA	1	ROCK1
523	ATM	1	PRKDC
524	TXN	-1	MAP3K5
525	CDKN1A	-1	PCNA
526	CXCL10	1	CXCR3
527	WSB1	-1	HIPK2
528	YAP1	1	TP73
529	ATM	-1	SIAH1
530	CDK2	-1	RB1
531	HIPK2	1	CTBP1
532	MAPK8	-1	CTBP1
533	ABL1	1	YAP1
534	AURKB	1	H3C8
535	PLK1	1	BORA
536	BORA	1	PLK1
537	BUB1	1	PLK1
