	sig_id	A375	A549	HA1E	HCC515	HEKTE	HEPG2	HT29	JURKAT	MCF7	PC3	SHSY5Y	SW480	VCAP
79	ERGK008_VCAP_120H:TRCN0000002283:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
80	ERGK008_VCAP_120H:TRCN0000006220:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
81	ERGK008_VCAP_120H:TRCN0000006280:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
82	ERGK008_VCAP_120H:TRCN0000010197:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
83	ERGK009_VCAP_120H:TRCN0000000585:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
84	ERGK009_VCAP_120H:TRCN0000000789:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
85	ERGK009_VCAP_120H:TRCN0000000804:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
86	ERGK009_VCAP_120H:TRCN0000000833:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
87	ERGK009_VCAP_120H:TRCN0000194991:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
88	ERGK009_VCAP_120H:TRCN0000195595:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
89	ERGK009_VCAP_120H:TRCN0000199872:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
90	ERGK010_VCAP_120H:TRCN0000000849:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
91	ERGK010_VCAP_120H:TRCN0000006404:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
92	ERGK010_VCAP_120H:TRCN0000195721:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
93	ERGK010_VCAP_120H:TRCN0000199522:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
94	ERGK011_VCAP_120H:H14	0	0	0	0	0	0	0	0	0	0	0	0	1
95	ERGK011_VCAP_120H:N14	0	0	0	0	0	0	0	0	0	0	0	0	1
96	ERGK013_VCAP_120H:TRCN0000000970:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
97	ERGK013_VCAP_120H:TRCN0000001578:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
98	ERGK013_VCAP_120H:TRCN0000007161:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
99	ERGK013_VCAP_120H:TRCN0000009975:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
100	ERGK013_VCAP_120H:TRCN0000010005:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
101	ERGK013_VCAP_120H:TRCN0000121073:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
102	ERGK013_VCAP_120H:TRCN0000195408:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
103	ERGK013_VCAP_120H:TRCN0000195539:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
104	ERGK014_VCAP_120H:TRCN0000001354:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
105	ERGK014_VCAP_120H:TRCN0000001837:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
106	ERGK014_VCAP_120H:TRCN0000001968:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
107	ERGK015_VCAP_120H:TRCN0000000419:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
108	ERGK015_VCAP_120H:TRCN0000001936:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
109	ERGK015_VCAP_120H:TRCN0000007339:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
110	ERGK015_VCAP_120H:TRCN0000037404:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
111	ERGK015_VCAP_120H:TRCN0000038681:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
112	ERGK015_VCAP_120H:TRCN0000194690:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
113	ERGK015_VCAP_120H:TRCN0000199533:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
114	ERGK016_VCAP_120H:TRCN0000000903:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
115	ERGK016_VCAP_120H:TRCN0000006298:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
116	ERGK016_VCAP_120H:TRCN0000007100:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
117	ERGK016_VCAP_120H:TRCN0000010341:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
118	ERGK016_VCAP_120H:TRCN0000010547:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
119	ERGK016_VCAP_120H:TRCN0000195671:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
120	KDA001_A549_96H:TRCN0000000777:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
121	KDA001_A549_96H:TRCN0000003756:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
122	KDA001_A549_96H:TRCN0000005986:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
123	KDA001_A549_96H:TRCN0000005998:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
124	KDA001_A549_96H:TRCN0000006042:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
125	KDA001_A549_96H:TRCN0000007310:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
126	KDA001_A549_96H:TRCN0000013563:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
127	KDA001_A549_96H:TRCN0000013575:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
128	KDA001_A549_96H:TRCN0000039635:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
129	KDA001_A549_96H:TRCN0000039901:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
130	KDA001_A549_96H:TRCN0000039961:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
131	KDA001_A549_96H:TRCN0000040081:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
132	KDA001_A549_96H:TRCN0000040212:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
133	KDA001_A549_96H:TRCN0000061753:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
134	KDA001_HA1E_96H:TRCN0000000656:-666	0	0	1	0	0	0	0	0	0	0	0	0	0
135	KDA001_HA1E_96H:TRCN0000000779:-666	0	0	1	0	0	0	0	0	0	0	0	0	0
136	KDA001_HA1E_96H:TRCN0000001499:-666	0	0	1	0	0	0	0	0	0	0	0	0	0
137	KDA001_HA1E_96H:TRCN0000001620:-666	0	0	1	0	0	0	0	0	0	0	0	0	0
