source	sign	target
MAPK8	-1	MAPK3
PRKCE	-1	MAPK3
CXCR4	1	STAT3
PDGFRB	1	STAT3
PDGFRA	1	STAT3
GATA1	-1	STAT3
STAT3	-1	GATA1
MET	1	PIK3R1
MAPK3	1	PTPN11
PTPN11	1	MAPK3
MAPK1	1	GATA1
AR	1	CASP3
CASP3	1	AR
CASP8	1	RALBP1
EP300	-1	MYC
CASP8	-1	AR
CASP3	1	GATA1
MYC	-1	BCL2
BCL2	1	MYC
RAC1	1	PRKCD
AKT1	-1	AKT2
