	ATF2	ATF6	CREB1	ELK1	ESR1	ESR2	FOS	HIF1A	JUN	LEF1	MYC	NFATC2	NFE2L2	NR3C1	RXRA	SMAD3	SMAD4	SP1	STAT1	STAT2	STAT3	STAT4	STAT5A	STAT5B	STAT6	TCF7L2	TP53
KDA006_A375_96H:TRCN0000195066:-666	0.632511211701878	0.829463247361193	0.188095325602508	0.717565723679529	0.658248835067036	0.901662670836234	0.103051168425888	0.338957608710897	0.0609743194206698	0.681773892253894	0.315065362893987	0.111365862616702	0.573895222149494	0.912708130970236	0.355888069259554	0.654530502459358	0.535738111075037	0.201641306733019	0.801746144421474	0.980428760241009	0.299600271318059	0.290854084897656	0.40971947157284	0.354806940303445	0.11663963429705	0.345937073357238	0.753970979486442
KDA001_A549_96H:TRCN0000039900:-666	0.475627912808404	0.810290992190771	0.354625832450468	0.650595072446328	0.49565526201189	0.673055964884193	0.210909006501784	0.137438447022277	0.0987173465056265	0.403191730813805	0.912949558029786	0.478627143157939	0.778446678782054	0.558353422836824	0.481658917169203	0.12990838001744	0.325113522916681	0.802019758525556	0.119696663872901	0.827745205089127	0.104184338296835	0.241606722020692	0.615625716258148	0.840117548106407	0.298022590636263	0.603887922981971	0.352265433859497
KDA005_HT29_96H:TRCN0000280683:-666	0.311807023751813	0.678746250757084	0.576610903202089	0.188326029737763	0.813728009795109	0.361807562567153	0.933655597318131	0.749744583925436	0.926556407373685	0.643762235604295	0.397068512384015	0.618820460741326	0.993084020315407	0.381568254259007	0.239093098547858	0.592536630820843	0.623512605110625	0.83990015878911	0.699341163119755	0.0231203273155051	0.699019808179571	0.361381072929575	0.741409216705207	0.679142034610295	0.595980781951625	0.294375410996375	0.314724297183547
KDA009_A549_96H:TRCN0000350280:-666	0.648537685673954	0.609054414550749	0.868076886660785	0.795801841199298	0.907922557770887	0.172332543138363	0.704245832432517	0.499232643694256	0.927094466769286	0.247936764920086	0.377433918289662	0.0915393563909354	0.573118440081866	0.520776274983583	0.610933264394134	0.460050636714654	0.317128180786953	0.908115719927635	0.0466141663340606	0.180996174315572	0.817732857805087	0.732120004382371	0.927490085341842	0.864222862419332	0.792001604668613	0.824995263131059	0.773484064337785
KDA004_HEPG2_96H:TRCN0000002286:-666	0.441118073174434	0.443305568331835	0.77171907043489	0.841154087745531	0.455267270506765	0.313605179546306	0.482362721868195	0.749665887066942	0.587277346673169	0.392175381552448	0.988288764782825	0.794204678453471	0.359243790632187	0.234062194988499	0.18345565006444	0.72035851340051	0.83764898451043	0.735310499777916	0.41561905270911	0.202875499487215	0.466563207985716	0.524121761155667	0.64092145702696	0.710353211428738	0.435613632445562	0.484354408688695	0.559843405607876
KDA006_HEPG2_96H:TRCN0000029514:-666	0.272100547746437	0.0560745412759709	0.582669147193015	0.935896735387067	0.794047898168132	0.303829360238043	0.740700464434447	0.954058730475414	0.85517444193701	0.896107118160466	0.636727784444805	0.481567605423467	0.78966679376453	0.146217883287599	0.373356360637936	0.816007073985572	0.901087683195013	0.931447239422336	0.652282538431234	0.926490199256051	0.382865474458554	0.480670916823723	0.465967424863182	0.455391600939727	0.220360089306248	0.887312096642045	0.658971138070669
KDA005_A549_96H:TRCN0000039793:-666	0.649918104396922	0.215899599460945	0.487997773533133	0.709386403707119	0.834947525866955	0.803737465332828	0.491062129577609	0.616482943483355	0.366647833221718	0.70306203709498	0.0181761423013228	0.543550409400346	0.136679649508802	0.81548882944271	0.296795161639913	0.765784009681325	0.572090905966035	0.380341433866886	0.673253236438307	0.0455362301610965	0.444309605233619	0.590363987449838	0.389927065488841	0.542149460883191	0.565019532546183	0.450330497746945	0.771358647484859
KDA009_A549_96H:TRCN0000298256:-666	0.297556569832642	0.419754025669287	0.344737640792045	0.457160409286363	0.527871839402855	0.26194374325131	0.0664684046927947	0.42927576601884	0.128462681448114	0.873701806599128	0.833026173416228	0.490556708914451	0.226696523309667	0.581765780039817	0.350888101226962	0.834681174995075	0.855901917021396	0.509011458156214	0.685879787519905	0.686395356143959	0.441576349459209	0.8888325252391	0.598723554719768	0.502076344595744	0.419726125492714	0.920811531602763	0.312045773218563
KDA006_PC3_96H:TRCN0000273494:-666	0.824060375354025	0.152974258568851	0.616062024313687	0.644394692964006	0.778404164553035	0.152648344181383	0.496940038448739	0.048669844706992	0.455421883171986	0.510889976657574	0.522722115115806	0.620458216106275	0.195852184229636	0.929571138213592	0.860477211323915	0.509861751015453	0.100141600007969	0.326881066981682	0.906314944508913	0.963131713051851	0.76747166021072	0.597931469954241	0.864671765745854	0.76472304991448	0.333172869771918	0.443701225167066	0.383414809013676
KDA009_HEPG2_96H:TRCN0000235518:-666	0.223601330325894	0.654013349080614	0.401725033358759	0.745943284205522	0.458421854330525	0.27523233302312	0.499416443232061	0.807570266400796	0.238753355833728	0.574701120978365	0.992640744197576	0.453400153101404	0.955474865100151	0.0947091158032004	0.544502010459693	0.165570338798372	0.51372994706498	0.821187887907577	0.237927316328411	0.59549401060693	0.365263902540581	0.130377437138525	0.709444128463203	0.498810358928412	0.678755719493966	0.586695084567071	0.0484394433751236
