	ATF2	ATF6	CREB1	ELK1	ESR1	ESR2	FOS	HIF1A	JUN	LEF1	MYC	STAT1	STAT3	STAT5B	STAT6	TCF7L2
TAK001_A375_96H:TRCN0000196698:-666	0.955502033549877	0.27459177399391	0.388418749477238	0.709987578036977	0.701728037715342	0.493363827417502	0.596302446970052	0.957688636124317	0.891385796172016	0.751358398793242	0.00562703165247732	0.945009475564535	0.842403895305861	0.792290880859452	0.443218646058614	0.713905324363594
EKW001_PC3_120H:TRCN0000288787:2	0.355882659678893	0.224838869538403	0.423989328155347	0.924250382413978	0.637953579302321	0.773511347124437	0.896335641021367	0.581813141370395	0.86790609985989	0.491354999911674	0.0409236890090667	0.998653799858206	0.73863059315394	0.759410883657126	0.506816830204837	0.76740258189501
DER001_VCAP_96H:TRCN0000121318:-666	0.863637838810196	0.719520940522009	0.39953467116207	0.970959428446107	0.407670526920914	0.641441308552959	0.834907401417806	0.773165275036275	0.802344147804259	0.459601043603425	0.833930860029657	0.26345657722231	0.769536674663394	0.576055562392069	0.31000667501467	0.402294935804763
TAK001_A375_96H:TRCN0000047632:-666	0.509378584529202	0.856713595390755	0.529174126916653	0.970101630715488	0.8521072693225	0.91091338242052	0.622500054802867	0.218160711491783	0.889462235955735	0.481428881172988	0.103370924974633	0.799188645150177	0.700579127391691	0.199840832426264	0.556528123493632	0.916060515945661
TAK002_PC3_96H:TRCN0000121068:-666	0.546518957165635	0.308237401334057	0.701825978729055	0.78304636032527	0.838663735539522	0.776981705231075	0.30195876176878	0.150766441853377	0.195100408864957	0.311238225319461	0.0418578140590992	0.881827029674453	0.541762236628249	0.828723393851314	0.783270396826946	0.843140734189578
EKW001_SHSY5Y_120H:TRCN0000295915:2	0.82963961684682	0.740687040691337	0.168984052813284	0.638009398936167	0.738476705363474	0.662916014471232	0.964305577949519	0.798854146187364	0.974003021171965	0.281549166819458	0.609135775309677	0.38670253497796	0.370494200975612	0.735437111266503	0.240044850101592	0.16379387162033
DER001_A375_96H:TRCN0000196310:-666	0.718458732917659	0.823329603136555	0.46627627136665	0.779539768391688	0.882745458183753	0.490072396841547	0.648909088768929	0.953961170629423	0.760556524378951	0.614023387878065	0.16208409916997	0.953272592602866	0.306516491246833	0.392657773153401	0.238787779131722	0.696625505444744
EKW001_SHSY5Y_120H:TRCN0000288787:2	0.680827313562016	0.20856070346222	0.221635115459772	0.806199549191281	0.820298180038669	0.773612395942808	0.761236746187438	0.470663090392224	0.854627231581385	0.831688000334858	0.0834939362924984	0.970345015215313	0.977195573021139	0.877233254756768	0.49993412777758	0.942806641917586
DER001_VCAP_96H:TRCN0000121131:-666	0.933388390415401	0.870597246707086	0.634667680882689	0.551045206003445	0.669371024841795	0.682820388756046	0.92317424771229	0.695115795648697	0.964429976133427	0.725784776341061	0.118710375394831	0.696361311870449	0.438371437723695	0.587273505867577	0.580318743941745	0.534684682505859
TAK001_HEKTE_96H:TRCN0000039797:-666	0.365590521828765	0.254758257260418	0.255786035604527	0.702871171877122	0.411658870174478	0.535904983384075	0.755673018414489	0.66140901429137	0.966308404643422	0.677509483483018	0.376632404167773	0.98347825531725	0.806414444596828	0.731747443725191	0.300773558814937	0.707780106883511
DER001_A375_96H:TRCN0000195611:-666	0.19069787977507	0.238389999007885	0.320094679700325	0.247774425998945	0.458667329781211	0.275887407380499	0.132360252264338	0.468144000212439	0.323823305345708	0.544817480469064	0.986335450240898	0.0250572683859304	0.128887827774146	0.458427036066659	0.271275965310277	0.627793595144163
TAK001_HEKTE_96H:TRCN0000040123:-666	0.160400872080191	0.330256070603787	0.343339510262574	0.609563232724353	0.160405153151201	0.637097480259627	0.255522443564734	0.793775419361189	0.212310577581094	0.273818798275321	0.689085910390936	0.772490228417619	0.186290055074701	0.259675975749865	0.50738383083018	0.709329440165582
TAK002_PC3_96H:TRCN0000367481:-666	0.60826154474877	0.47873285298129	0.783017803187166	0.596114607623982	0.26995495730395	0.352780207248142	0.275513925139168	0.361808979324701	0.330821357144484	0.495479281988327	0.845155407051068	0.296550657857697	0.0940770257294812	0.362372285701893	0.493144176186656	0.0656326343689247
DER001_A375_96H:TRCN0000262375:-666	0.258211085257071	0.565776811088983	0.419435312914911	0.374695074884453	0.292208879968336	0.26645202350236	0.355121365452597	0.766335103840939	0.702659535115556	0.71204622575829	0.990326727684777	0.0317388491595599	0.516799143981565	0.653623721454782	0.438251381638477	0.573964111933133
TAK001_HEKTE_96H:TRCN0000318674:-666	0.61575695148426	0.468641139181133	0.492880187540233	0.51021728594902	0.199800173405278	0.366722957281047	0.548303660480381	0.110055275439503	0.849138549259965	0.271198340912328	0.896101099507657	0.423533578269921	0.445668865815009	0.632426058999268	0.488295541336612	0.755752533395192
TAK002_PC3_96H:TRCN0000003101:-666	0.223016605577036	0.933694246614032	0.1085821426484	0.31099672385725	0.611170236915149	0.479090916091839	0.703021408699653	0.345304308699852	0.368159377958284	0.127004095839357	0.123750570464943	0.897118328519329	0.144119248050653	0.201467787261942	0.300270090522329	0.109279654639543
DER001_A549_96H:TRCN0000007229:-666	0.563638449904043	0.415394540631459	0.631041150619354	0.206756001173234	0.273901754929956	0.592304170943047	0.557085687696458	0.359213886732895	0.584216400510044	0.567567896741131	0.952381430108222	0.42506262257075	0.740607320400611	0.518870170254996	0.673017710151866	0.526896035693269
DER001_VCAP_96H:TRCN0000295968:-666	0.780701384446015	0.583743015933837	0.658262186436121	0.863795509986888	0.551019328323148	0.665664448607534	0.57402888681132	0.802830976846775	0.727569640149691	0.0601953004431449	0.0391289795739951	0.871416676587273	0.456672396299098	0.188263951502157	0.904525899861329	0.322512567216213
DER001_PC3_96H:J15	0.594202955839411	0.54862115267161	0.296812008493126	0.258618142055781	0.244929279062287	0.322987834328969	0.720744218826365	0.629553580145458	0.764471379510426	0.900015507166261	0.783031336592371	0.581738189685458	0.422022012331005	0.68614767813053	0.580532514287812	0.968186695634779
TAK001_HEKTE_96H:TRCN0000047632:-666	0.311872193615793	0.515848964673927	0.141229629032825	0.759436267209758	0.939795115335432	0.827275897652816	0.329348607308868	0.114032376355054	0.469472816642442	0.852853147433109	0.0787853184020077	0.281294077178167	0.721853431243043	0.434393037814009	0.839222427172323	0.940331870411461
TAK003_PC3_96H:TRCN0000003519:-666	0.443646905677509	0.78223507476419	0.705025480949561	0.497784411948307	0.486291758555946	0.821514063942792	0.435346250454962	0.310069574148463	0.251644228760053	0.322132184082825	0.01073170440069	0.950898240745006	0.472704427581574	0.466728483922693	0.630013379640221	0.656707424319677
TAK001_HEKTE_96H:TRCN0000376482:-666	0.51013116590299	0.715439019043745	0.565212293442537	0.582826067644562	0.77836951424125	0.619946446763137	0.158017698448847	0.3473050841313	0.756794508043373	0.234185630421465	0.527234820439363	0.924920447752676	0.847971643049033	0.819279056623321	0.743024333390889	0.319024160522257
EKW001_SHSY5Y_120H:TRCN0000342259:2	0.124197635965791	0.312981683845702	0.476088779880614	0.628379314837403	0.263578937084167	0.619339849058414	0.295433424562616	0.430327067934787	0.696520748115112	0.349431763458635	0.51939311899335	0.595925727409348	0.345830328623641	0.525384785089218	0.476192490837151	0.763352779755872
TAK002_PC3_96H:TRCN0000017854:-666	0.32218748862201	0.120391474588256	0.408578413796549	0.724543349113681	0.874689635010114	0.453895955342427	0.905741170076104	0.977365920384991	0.889320340152401	0.176086839934234	0.238276148102403	0.914526728441245	0.756915445535808	0.565210119717066	0.273952472639544	0.690731962338829
TAK003_PC3_96H:TRCN0000003164:-666	0.274852135154303	0.386768827897869	0.459555697260601	0.147262655990808	0.12630364801185	0.141489691589578	0.533613872388069	0.0425200395139898	0.722516383091892	0.130482231866357	0.998713734428589	0.169377344109591	0.335397791702651	0.264681462713974	0.399175552491038	0.148095105001603
TAK002_HEKTE_96H:TRCN0000033254:-666	0.050135438782699	0.81851536128904	0.333732183284872	0.358488554798964	0.236987138847724	0.32803246621172	0.0489570820396514	0.91343549784074	0.0857823678622228	0.282985088976371	0.970745224407394	0.0312709077296417	0.176931806222717	0.503873905692878	0.0428784882356115	0.391417010919331
TAK002_HEKTE_96H:TRCN0000174055:-666	0.419809181405748	0.598851756318519	0.390137114645933	0.634131427128274	0.341949527177993	0.782128068532116	0.403444316565968	0.126683666163969	0.181777069430763	0.305991100099273	0.17185484841766	0.974209409852464	0.328267943107919	0.524113679617022	0.728504586713906	0.0949486816586136
TAK002_HEKTE_96H:TRCN0000017856:-666	0.755719872999819	0.20177862051169	0.571369505484158	0.106212725561601	0.879587074060237	0.581519162420805	0.903275212397595	0.925789601256707	0.645884204796999	0.878694749499255	0.137212342618792	0.62953557200316	0.779135372039735	0.871634583197657	0.811932488254727	0.881449296260234
TAK001_A375_96H:TRCN0000318674:-666	0.303988787227637	0.589496999672751	0.434570130846389	0.757626950568004	0.425595893508198	0.328518383166212	0.123711679343033	0.307998118175654	0.299813619074228	0.483505975542189	0.996842456376528	0.0421160171350171	0.110813303092239	0.519724688319452	0.189148600028151	0.432491911649165
DER001_A375_96H:TRCN0000121071:-666	0.595778668030313	0.669094663743077	0.534639011036141	0.418887250917312	0.538792071310032	0.291078746527302	0.252370962756431	0.464694926979691	0.634927837334174	0.855802232996692	0.939987461737128	0.0331664558346466	0.634938622290509	0.7117059839613	0.624911079696783	0.828049477767368
TAK001_HEKTE_96H:TRCN0000047708:-666	0.532465238805342	0.375922525260734	0.702476220407565	0.453245773446358	0.929293607543001	0.807208227109131	0.921477777074745	0.382380217468021	0.659915859062587	0.273089058530266	0.00851728341204423	0.982606834106364	0.805510371671779	0.523626061778196	0.673611838499874	0.222577477594843
EKW001_PC3_120H:TRCN0000299931:2	0.809177657001384	0.865698641131386	0.426418076467395	0.701137934842179	0.213215960561487	0.362414215320768	0.712975446605375	0.295238265351942	0.288743040393281	0.419811537198385	0.942357567186825	0.785630146045934	0.632163303598685	0.480115545479322	0.876191392601256	0.0768221145688261
TAK001_HEKTE_96H:TRCN0000278051:-666	0.618367202165651	0.254172121412422	0.739606680056283	0.498148932119008	0.703526143885251	0.574756370068534	0.398897480923749	0.366765974872267	0.299350796083414	0.319898583771185	0.893939147828142	0.0689643551536457	0.318062907448185	0.678862851697883	0.576488014010371	0.33680657618539
TAK002_HEKTE_96H:TRCN0000010107:-666	0.766159184248543	0.434017431089692	0.385415008904733	0.297602105255668	0.273864387495678	0.643922775386079	0.728413998550128	0.664579468930425	0.88326415262195	0.464482825218318	0.0210818234836572	0.948222758513636	0.563348190054414	0.446373074932984	0.86538591058501	0.423403779807529
DER001_A375_96H:TRCN0000121207:-666	0.724869662091603	0.860948427014087	0.36448535524189	0.200046477280522	0.639972545813923	0.764344726291601	0.746083249093113	0.240407554690052	0.534934955025919	0.449203049965617	0.0613437823374274	0.64487763736699	0.536428746294552	0.825990058828624	0.358664745648145	0.324885532750847
DER001_PC3_96H:TRCN0000310112:-666	0.231393621650939	0.662152615507324	0.534251024475869	0.590210125367428	0.331881728318193	0.176794431060235	0.0825072636380058	0.130397648378267	0.278844119752184	0.777149085024719	0.956402828366098	0.00819442193382384	0.112023588754582	0.380288926086889	0.0850518762511801	0.847722612865681
